作品Id,专辑名,作者,urlId,专辑链接,标签,作者主页链接,播放量,专辑集数,专辑描述,是否付费,价格,排名
9723091,郭德纲21年相声精选,郭德纲相声,xiangsheng/9723091/,https://www.ximalaya.com/xiangsheng/9723091/,相声评书,https://www.ximalaya.com/zhubo/1000202/,451742819,154,持续收录郭德纲先生历年经典相声，高清无噪，敬请收听。,False,,1
12580785,鲜快报,封面新闻,toutiao/12580785/,https://www.ximalaya.com/toutiao/12580785/,头条,https://www.ximalaya.com/zhubo/102403331/,266331784,4110,新鲜出炉的新闻来一打，这里是封面新闻推出的鲜快报。,False,,2
15273276,晓说2018,超级制作,renwen/15273276/,https://www.ximalaya.com/renwen/15273276/,人文,https://www.ximalaya.com/zhubo/91044493/,2360232179,39,2018世界依旧很大，大到可以晓说。还是那个熟悉的高晓松，上天下地、古今中外无所不谈，万里挑一的有趣灵魂带给你最有得聊的谈资。这一季《晓说2018》话接上回，从1919年的世界局势说起，继续信手拈来谈,False,,3
11219907,岳云鹏孙越爆笑相声合辑,岳云鹏相声,xiangsheng/11219907/,https://www.ximalaya.com/xiangsheng/11219907/,相声评书,https://www.ximalaya.com/zhubo/1412883/,114737013,79,最近更新：岳云鹏 郭德纲 - 唐伯虎三笑点秋香,False,,4
19366477,郭德纲·于谦 每周见,郭德纲相声,xiangsheng/19366477/,https://www.ximalaya.com/xiangsheng/19366477/,相声评书,https://www.ximalaya.com/zhubo/1000202/,20140152,33,相声界最强CP！德云社班主VS班主的另一半！ 这个世界上没有什么烦心事儿是你郭大爷和谦儿大爷一段相声解决不了的，如果有那就是两段！ 从今天开始本专辑会每周更新二老的作品，从此将不会再为选择哪个作品陪您,False,,5
321787,蕊希电台,蕊希Erin,qinggan/321787/,https://www.ximalaya.com/qinggan/321787/,情感生活,https://www.ximalaya.com/zhubo/1363000/,544302084,408,最近更新：我差点以为就要错过你了,False,,6
5088879,读者,读者,renwen/5088879/,https://www.ximalaya.com/renwen/5088879/,人文,https://www.ximalaya.com/zhubo/44190264/,316692963,1530,每晚8点，和您分享一篇好文章。,False,,7
16957024,2018郭德纲于谦专场精选,钢丝联盟相声,xiangsheng/16957024/,https://www.ximalaya.com/xiangsheng/16957024/,相声评书,https://www.ximalaya.com/zhubo/121097466/,122068371,344,    作为资深的钢丝，见证了郭老师于老师从无到有、从小到大一步步相辅相成走到今天，感谢同是钢丝联盟的你们的一直以来的追捧和喜爱！本专辑是由我最新整理了郭老师于老师相声的现场高清音,False,,8
6233693,米小圈上学记：一二三年级,米小圈,ertong/6233693/,https://www.ximalaya.com/ertong/6233693/,儿童,https://www.ximalaya.com/zhubo/68394601/,876547614,258,《米小圈上学记》一二三年级广播剧开播喽！ 《米小圈上学记》系列是儿童作家北猫最新创作的儿童小说系列，作品诙谐幽默、好玩有趣，通过描写米小圈的快乐生活以及他们和家长、老师、同学的好玩的故事，,False,,9
4756811,摸金天师（盗墓小说）紫襟故事 | 原《活人回避》,有声的紫襟,youshengshu/4756811/,https://www.ximalaya.com/youshengshu/4756811/,有声书,https://www.ximalaya.com/zhubo/1266964/,2625715990,1133,【内容简介】 二十岁那年我因为贪财收了一件不该收的古董，从那以后，为了活命，我不得不一次次出入那些对于活人来说十死无生的禁地。秦岭大山里的墓葬群，西北戈壁中的无人区，浩瀚深海下的失落遗迹，雪域高原,False,,10
4519297,新闻早餐,东方网,toutiao/4519297/,https://www.ximalaya.com/toutiao/4519297/,头条,https://www.ximalaya.com/zhubo/52622741/,351260097,980,一日之计在于晨，新闻早餐不能少。,False,,11
