作品Id,专辑名,作者,urlId,专辑链接,标签,作者主页链接,播放量,专辑集数,专辑描述,是否付费,价格,排名
11501536,蔡康永的201堂情商课,米未MeWe,jiaoyu/11501536/,https://www.ximalaya.com/jiaoyu/11501536/,教育培训,https://www.ximalaya.com/zhubo/49265909/,75219836,238,情商是什么？ 在蔡康永看来，情商，是人应对一切关系的能力总和，包括 人与自己的关系，人与他人的关系，人与环境的关系： 在这个关系图谱中，拥有高情商的人，可以让自我活得更加舒适，不会陷,True,198.00喜点,1
6419495,陈果的幸福哲学课,辣椒智库,renwen/6419495/,https://www.ximalaya.com/renwen/6419495/,人文,https://www.ximalaya.com/zhubo/56025350/,42248292,50,2019年，你的幸福关键词是什么？是时候了，和生活好好谈谈，把握当下的幸福。复旦爆红的女神教师陈果，独家开讲人生的幸福哲学课，激活你对幸福的感知力。 30节人生课，修炼幸福的能力 幸福不是从,True,99.00喜点,2
14967392,知否？知否？应是绿肥红瘦（赵丽颖冯绍峰主演电视剧）,聚力有声,youshengshu/14967392/,https://www.ximalaya.com/youshengshu/14967392/,有声书,https://www.ximalaya.com/zhubo/108689369/,27956295,302,赵丽颖、冯绍峰联袂主演同名电视剧原著小说 关心则乱 经典宅斗种田小说 由晋江文学城授权、飞客聚力出品、鼎鼎有声制作 华衣如羽、子沐、辰羽、阑珊梦、伍壹先生、等众多主播携手演播多人有声剧,True,0.30喜点/集,3
20527616,古典名著大师课,大先生说,renwen/20527616/,https://www.ximalaya.com/renwen/20527616/,人文,https://www.ximalaya.com/zhubo/130850766/,376754,17,【新品特惠】从即日起至1月23日前购买专辑，可以享受 7 折优惠哦~ 了解中国文化的最好途径是回归历经时间检验的古典名著。 从《诗经》《论语》到《史记》《汉书》，从唐诗宋词到明清小说，,True,199.00喜点,4
11438153,郭论·郭德纲品俗文化史,超级制作,renwen/11438153/,https://www.ximalaya.com/renwen/11438153/,人文,https://www.ximalaya.com/zhubo/91044493/,54894593,159,最近更新：【彩蛋】那些迟早得说的话,True,200.00喜点,5
13394295,《阴间神探（付费版）》紫襟故事,有声的紫襟,youshengshu/13394295/,https://www.ximalaya.com/youshengshu/13394295/,有声书,https://www.ximalaya.com/zhubo/1266964/,312151510,832,【内容简介】 这个世界上，每天都会有诡异的案件发生。 生意最好的包子铺，它的包子馅却是用人肉做的。 地段红火的豪宅，墙上汩汩流出鲜血。 大学里死去的美女校花，每逢忌日必会带走一人。 医院7号楼僵尸,True,0.15喜点/集,6
11549955,喜马讲书,喜马讲书,renwen/11549955/,https://www.ximalaya.com/renwen/11549955/,人文,https://www.ximalaya.com/zhubo/95528803/,38304787,578,你上次读完一本书，是什么时候？读书，不知不觉成了一件「三无」的事。- 出版市场...,True,,7
14783240,余秋雨·中国文化必修课,余秋雨,renwen/14783240/,https://www.ximalaya.com/renwen/14783240/,人文,https://www.ximalaya.com/zhubo/109728905/,23629013,200,中国人必听的文化素养课 人类创造的财富有两种，物质与文化。物质财富只能血缘继承与个人创造，而精神文化却可以通过语言，跨越时空与血缘的阻碍，让地球上任何一个人就能获取大师的财富。 余秋雨用,True,199.00喜点,8
18372779,我修的可能是假仙【牛大宝爆笑演播】,Hi_牛大宝_,youshengshu/18372779/,https://www.ximalaya.com/youshengshu/18372779/,有声书,https://www.ximalaya.com/zhubo/26520310/,68034281,690,【内容简介】  大家好，我叫安林，我是个大学生，我明明可以过一个无忧无虑的大学生活，不知怎么着背上了好几百万的巨债，还被一群老爷们围了起来看似要发生不可描述的事情，突然！来了一位看似仙风,True,0.20喜点/集,9
18546258,王东岳的中西哲学启蒙课,东岳先生,renwen/18546258/,https://www.ximalaya.com/renwen/18546258/,人文,https://www.ximalaya.com/zhubo/74486825/,11848661,84,本课程不同于你之前看过或听过的任何哲学课。 在那些大学课堂或哲学著作里，往往是千篇一律的哲学家简介、晦涩难懂的哲学理论，你或许能读懂他们，但如果你不想成为哲学史专家，这些知识并不能改变你。,True,299.00喜点,10
